page,page_title,active_visitors
weather.gov/,National Weather Service,943
usps.com/,Welcome | USPS,732
earthquake.usgs.gov/earthquakes/map/,Latest Earthquakes,571
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Case Status,571
applicationmanager.gov/application.aspx,Application Manager,309
ceac.state.gov/ceacstattracker/status.aspx,CEAC,288
tools.usps.com/go/trackconfirmaction_input,USPS.com® - USPS Tracking®,257
cns.usps.com/labelinformation.shtml,USPS.com® - Create Shipping Labels,217
ssa.gov/myaccount/,my Social Security,190
login.usajobs.gov/issue/wsfed?wa=wsignout1.0&wreply=https://www.usajobs.gov/,USAJOBS - Sign Out,180
studentloans.gov/mydirectloan/login.action,StudentLoans.gov,173
ceac.state.gov/genniv/default.aspx,Nonimmigrant Visa - Instructions Page,170
2016.export.gov/safeharbor/,(not set),169
tools.usps.com/go/scheduleapickupaction_confirmation,USPS.com® - Schedule a Pickup,151
usajobs.gov/,"USAJOBS - The Federal Government's official employment site",149
ssa.gov/site/signin/en/,Sign in / up | Social Security Administration,147
ceac.state.gov/genniv/general/complete/complete_travel.aspx?node=travel,Nonimmigrant Visa - Travel Information,145
egov.uscis.gov/casestatus/landing.do,myUSCIS - Case Status Search,142
nhlbi.nih.gov/health/educational/lose_wt/bmi/bmicalc.htm,Calculate Your BMI - Standard BMI Calculator,141
wrh.noaa.gov/pqr/,National Weather Service - NWS Portland,141
studentloans.gov/mydirectloan/index.action,StudentLoans.gov,138
tsa.gov/travel/security-screening,Security Screening | Transportation Security Administration,137
ceac.state.gov/genniv/general/complete/complete_personal.aspx?node=personal1,Nonimmigrant Visa - Personal Information 1,130
npin.cdc.gov/gytwidgets/gytwidget.aspx,GYT Widget,130
privacyshield.gov/welcome,Privacy Shield | Privacy Shield,128
time.gov/,The Official NIST US Time:,128
ceac.state.gov/ceac/,Consular Electronic Application Center,127
ebenefits.va.gov/ebenefits/homepage,Home - eBenefits,126
uscis.gov/,Homepage | USCIS,122
ssa.gov/,The United States Social Security Administration,121
holdmail.usps.com/holdmail/request.do,USPS.com - Hold Mail Service,115
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 45.53°N and Longitude 122.67°W (Elev. 200 ft),114
irs.gov/individuals/get-transcript,Welcome to Get Transcript,113
archives.gov/federal-register/electoral-college/key-dates.html,U. S. Electoral College: 2016 Key Dates,112
irs.gov/,Internal Revenue Service,111
usajobs.gov/applicant/profiledashboard/home,USAJOBS - Profile Dashboard,111
ceac.state.gov/genniv/general/complete/complete_workeducation2.aspx?node=workeducation2,Nonimmigrant Visa - Previous Work/Education/Training Information,109
myhealth.va.gov/,Home - My HealtheVet,109
redelivery.usps.com/redelivery/,USPS.com - Redelivery Service,104
ceac.state.gov/genniv/general/complete/complete_workeducation1.aspx?node=workeducation1,Nonimmigrant Visa - Present Work/Education/Training Information,101
nasa.gov/,NASA,101
holdmail.usps.com/holdmail/,USPS.com - Hold Mail Service,99
irs.gov/payments/direct-pay,Welcome to Direct Pay!,99
petitions.whitehouse.gov/petition/de-schedule-cannabis-free-plant,De-Schedule Cannabis--Free the Plant | We the People: Your Voice in Our Government,98
ceac.state.gov/genniv/,Nonimmigrant Visa - Instructions Page,97
my.usps.com/mobileweb/pages/myusps/homeaction_input.action?restart=1,My USPS™ - Track a Package,97
faa.gov/about/initiatives/hazmat_safety/,Pack Safe,96
usajobs.gov/search/getadvancedsearchresults/,USAJOBS - The Federal Government’s Official Jobs Site,96
ceac.state.gov/genniv/common/recovery.aspx,Nonimmigrant Visa - Recover Your Application,95
postcalc.usps.com/,Postage Price Calculator,91
my.usps.com/mobileweb/pages/intro/start.action,USPS.com® - Track Packages and Manage Shipping,87
nih.gov/,National Institutes of Health (NIH) | Turning Discovery Into Health,87
cns.usps.com/shippingcart.shtml,USPS.com® - Review Shipping Labels,82
cdc.gov/std/widgets/widget-3b.html,STD Widget 3,79
ceac.state.gov/genniv/general/complete/complete_contact.aspx?node=addressphone,Nonimmigrant Visa - Address and Phone Information,79
tools.usps.com/go/trackconfirmaction,USPS.com® - USPS Tracking®,79
apod.nasa.gov/apod/astropix.html,Astronomy Picture of the Day,78
ceac.state.gov/genniv/general/esign/complete_done.aspx?node=done,Nonimmigrant Visa - Confirmation Page,78
tools.usps.com/go/scheduleapickupaction!input.action,USPS.com® - Schedule a Pickup,76
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 44.04°N and Longitude 123.1°W (Elev. 571 ft),75
reg.usps.com/entreg/registrationaction_input,USPS.com® - Register for an online account,74
ceac.state.gov/genniv/general/complete/passport_visa_info.aspx?node=pptvisa,Nonimmigrant Visa - Passport Information,72
irs.gov/uac/pay-taxes-by-credit-or-debit-card,Pay your Taxes by Debit or Credit Card,71
ceac.state.gov/genniv/general/complete/complete_uscontact.aspx?node=uscontact,Nonimmigrant Visa - U.S. Point of Contact Information,70
ceac.state.gov/genniv/general/review/review_reviewpersonal.aspx?node=reviewpersonal,"Non-Immigrant Visa - Review Personal, Address, Phone, and Passport Information",70
tools.usps.com/go/polocatoraction.action,USPS.com® - Find Locations,70
epa.gov/sites/production/files/widgets/ef-uvindex.html,EF UV Index Widget | US EPA,66
usps.com/ship/priority-mail.htm,Priority Mail | USPS,66
usps.com/holiday/holiday-schedule.htm,2016 USPS Holiday Closings & Hours | USPS,65
weather.gov/radar,Doppler Radar National Mosaic,63
ceac.state.gov/genniv/general/complete/complete_family1.aspx?node=relatives,Nonimmigrant Visa - Family Information: Relatives,62
tsa.gov/travel/security-screening/prohibited-items,Prohibited Items | Transportation Security Administration,62
earthquake.usgs.gov/earthquakes/eventpage/nc72737985,"M5.0 - 8km NW of The Geysers, California",60
myhealth.va.gov/mhv-portal-web/home,Home - My HealtheVet,60
nws.noaa.gov/om/winter/windchill.shtml,NWS Winter Storm Safety Wincchill Information and Chart,60
ceac.state.gov/genniv/general/complete/complete_previousustravel.aspx?node=previousustravel,Nonimmigrant Visa - Previous U.S. Travel Information,58
travel.state.gov/content/visas/en/law-and-policy/bulletin/2017/visa-bulletin-for-january-2017.html,Visa Bulletin For January 2017,57
nhtsa.gov/drivesober/index.html,Drive Sober or Get Pulled Over,56
uscis.gov/n-400,Application for Naturalization | USCIS,56
wrh.noaa.gov/sew/,National Weather Service - NWS Seattle,56
ceac.state.gov/genniv/general/complete/complete_workeducation3.aspx?node=workeducation3,Nonimmigrant Visa - Additional Work/Education/Training Information,55
