date,browser,visits
2016-09-15,Chrome,12184773
2016-09-15,Safari,6446412
2016-09-15,Internet Explorer,5093466
2016-09-15,Firefox,2126016
2016-09-15,Edge,863418
2016-09-15,Safari (in-app),343846
2016-09-15,Android Browser,187638
2016-09-15,Opera Mini,73223
2016-09-15,Amazon Silk,72874
2016-09-15,Opera,55349
2016-09-15,UC Browser,43510
2016-09-15,BlackBerry,16629
2016-09-15,ELB-HealthChecker,6797
2016-09-15,YaBrowser,5162
2016-09-15,Mozilla Compatible Agent,4664
2016-09-15,Maxthon,4076
2016-09-15,Coc Coc,3417
2016-09-15,SeaMonkey,2522
2016-09-15,IE with Chrome Frame,1051
2016-09-15,Nokia Browser,995
2016-09-15,YE,506
2016-09-15,Mozilla,438
2016-09-15,Iron,436
2016-09-15,Tracker,393
2016-09-15,MRCHROME,389
2016-09-15,Nintendo Browser,382
2016-09-15,NetFront,325
2016-09-15,Playstation Vita Browser,261
2016-09-15,Playstation 3,235
2016-09-15,DDG-Android-3.0.12,163
2016-09-15,ios-app,159
2016-09-15,Android Runtime,152
2016-09-15,Netscape,139
2016-09-15,Job Search,114
2016-09-15,casper,114
2016-09-15,Uzbl,109
2016-09-15,Caremark iPhone,101
2016-09-16,Chrome,10704204
2016-09-16,Safari,5786664
2016-09-16,Internet Explorer,4372353
2016-09-16,Firefox,1878456
2016-09-16,Edge,755543
2016-09-16,Safari (in-app),320639
2016-09-16,Android Browser,177691
2016-09-16,Amazon Silk,69866
2016-09-16,Opera Mini,65298
2016-09-16,Opera,54428
2016-09-16,UC Browser,44389
2016-09-16,BlackBerry,15279
2016-09-16,ELB-HealthChecker,7342
2016-09-16,YaBrowser,5199
2016-09-16,Mozilla Compatible Agent,4396
2016-09-16,Maxthon,3765
2016-09-16,Coc Coc,3225
2016-09-16,SeaMonkey,2358
2016-09-16,Nokia Browser,974
2016-09-16,IE with Chrome Frame,827
2016-09-16,YE,480
2016-09-16,Mozilla,440
2016-09-16,Iron,415
2016-09-16,Nintendo Browser,398
2016-09-16,MRCHROME,371
2016-09-16,NetFront,343
2016-09-16,Tracker,275
2016-09-16,Playstation 3,244
2016-09-16,Playstation Vita Browser,178
2016-09-16,DDG-Android-3.0.12,154
2016-09-16,Phantom Browser,137
2016-09-16,ios-app,137
2016-09-16,Android Runtime,128
2016-09-16,Digg,127
2016-09-16,Netscape,119
2016-09-16,Caremark iPhone,108
2016-09-16,AdobeAIR,107
2016-09-16,Uzbl,101
2016-09-17,Chrome,6737398
2016-09-17,Safari,4693843
2016-09-17,Internet Explorer,1256984
2016-09-17,Firefox,1077809
2016-09-17,Edge,534268
2016-09-17,Safari (in-app),271070
2016-09-17,Android Browser,159674
2016-09-17,Amazon Silk,67166
2016-09-17,Opera Mini,59799
2016-09-17,Opera,46902
2016-09-17,UC Browser,40031
2016-09-17,BlackBerry,13085
2016-09-17,ELB-HealthChecker,6770
2016-09-17,YaBrowser,5096
2016-09-17,Maxthon,3449
2016-09-17,Mozilla Compatible Agent,3247
2016-09-17,Coc Coc,2933
2016-09-17,SeaMonkey,1919
2016-09-17,Nokia Browser,890
2016-09-17,Nintendo Browser,420
2016-09-17,YE,403
2016-09-17,Mozilla,392
2016-09-17,MRCHROME,378
2016-09-17,NetFront,318
2016-09-17,IE with Chrome Frame,312
2016-09-17,Iron,294
2016-09-17,Playstation 3,227
2016-09-17,Playstation Vita Browser,192
2016-09-17,Netscape,132
2016-09-17,Tracker,126
2016-09-17,DDG-Android-3.0.12,121
2016-09-17,Uzbl,104
2016-09-17,Android Runtime,101
2016-09-18,Chrome,6846737
2016-09-18,Safari,4437326
2016-09-18,Internet Explorer,1206858
2016-09-18,Firefox,1108043
2016-09-18,Edge,580486
2016-09-18,Safari (in-app),251110
2016-09-18,Android Browser,158551
2016-09-18,Amazon Silk,67660
2016-09-18,Opera Mini,65230
2016-09-18,Opera,45447
2016-09-18,UC Browser,41617
2016-09-18,BlackBerry,13223
2016-09-18,ELB-HealthChecker,6713
2016-09-18,YaBrowser,4991
2016-09-18,Maxthon,3843
2016-09-18,Coc Coc,3332
2016-09-18,Mozilla Compatible Agent,3041
2016-09-18,SeaMonkey,1798
2016-09-18,Nokia Browser,977
2016-09-18,Nintendo Browser,472
2016-09-18,YE,426
2016-09-18,MRCHROME,371
2016-09-18,Mozilla,349
2016-09-18,NetFront,317
2016-09-18,IE with Chrome Frame,309
2016-09-18,Iron,278
2016-09-18,Playstation Vita Browser,211
2016-09-18,Playstation 3,191
2016-09-18,Android Runtime,177
2016-09-18,DDG-Android-3.0.12,141
2016-09-18,Job Search,123
2016-09-18,Tracker,121
2016-09-18,Netscape,119
2016-09-18,Uzbl,115
2016-09-19,Chrome,12791353
2016-09-19,Safari,6397655
2016-09-19,Internet Explorer,5321547
2016-09-19,Firefox,2265294
2016-09-19,Edge,924609
2016-09-19,Safari (in-app),343390
2016-09-19,Android Browser,186153
2016-09-19,Opera,84221
2016-09-19,Amazon Silk,74094
2016-09-19,Opera Mini,74010
2016-09-19,UC Browser,42741
2016-09-19,BlackBerry,16400
2016-09-19,YaBrowser,8158
2016-09-19,ELB-HealthChecker,6280
2016-09-19,Maxthon,5356
2016-09-19,Mozilla Compatible Agent,4537
2016-09-19,Coc Coc,4382
2016-09-19,SeaMonkey,2491
2016-09-19,IE with Chrome Frame,1019
2016-09-19,Nokia Browser,959
2016-09-19,Iron,895
2016-09-19,YE,700
2016-09-19,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,644
2016-09-19,MRCHROME,587
2016-09-19,Mozilla,460
2016-09-19,Nintendo Browser,380
2016-09-19,NetFront,331
2016-09-19,Playstation 3,283
2016-09-19,Playstation Vita Browser,230
2016-09-19,Nichrome,216
2016-09-19,DDG-Android-3.0.12,150
2016-09-19,Android Runtime,145
2016-09-19,Netscape,138
2016-09-19,Phantom Browser,132
2016-09-19,ios-app,121
2016-09-19,Tracker,120
2016-09-19,Job Search,119
2016-09-19,Uzbl,113
2016-09-19,Caremark iPhone,112
2016-09-20,Chrome,12714049
2016-09-20,Safari,6358798
2016-09-20,Internet Explorer,5282126
2016-09-20,Firefox,2209934
2016-09-20,Edge,892936
2016-09-20,Safari (in-app),370140
2016-09-20,Android Browser,190373
2016-09-20,Opera,106674
2016-09-20,Opera Mini,74751
2016-09-20,Amazon Silk,73146
2016-09-20,UC Browser,43113
2016-09-20,BlackBerry,16786
2016-09-20,YaBrowser,10381
2016-09-20,Maxthon,5132
2016-09-20,ELB-HealthChecker,5116
2016-09-20,Mozilla Compatible Agent,4543
2016-09-20,Coc Coc,3817
2016-09-20,SeaMonkey,2453
2016-09-20,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,2251
2016-09-20,Iron,1350
2016-09-20,Nokia Browser,974
2016-09-20,IE with Chrome Frame,973
2016-09-20,Mozilla,942
2016-09-20,MRCHROME,649
2016-09-20,YE,603
2016-09-20,Nintendo Browser,364
2016-09-20,Nichrome,354
2016-09-20,NetFront,294
2016-09-20,pa11y,283
2016-09-20,Playstation 3,262
2016-09-20,Playstation Vita Browser,208
2016-09-20,Netscape,162
2016-09-20,DDG-Android-3.0.12,151
2016-09-20,casper,142
2016-09-20,Job Search,130
2016-09-20,Phantom Browser,127
2016-09-20,Tracker,127
2016-09-20,Android Runtime,114
2016-09-20,ios-app,111
2016-09-20,Uzbl,104
2016-09-21,Chrome,12804360
2016-09-21,Safari,6596253
2016-09-21,Internet Explorer,5211326
2016-09-21,Firefox,2211279
2016-09-21,Edge,890422
2016-09-21,Safari (in-app),396849
2016-09-21,Android Browser,194422
2016-09-21,Opera,115324
2016-09-21,Amazon Silk,75165
2016-09-21,Opera Mini,74508
2016-09-21,UC Browser,43021
2016-09-21,BlackBerry,16829
2016-09-21,YaBrowser,10782
2016-09-21,Maxthon,5195
2016-09-21,Mozilla Compatible Agent,5105
2016-09-21,ELB-HealthChecker,4755
2016-09-21,Coc Coc,4241
2016-09-21,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,2524
2016-09-21,SeaMonkey,2510
2016-09-21,Iron,1454
2016-09-21,pa11y,1132
2016-09-21,IE with Chrome Frame,1007
2016-09-21,Nokia Browser,994
2016-09-21,MRCHROME,636
2016-09-21,YE,597
2016-09-21,Mozilla,480
2016-09-21,Nichrome,450
2016-09-21,Nintendo Browser,435
2016-09-21,NetFront,296
2016-09-21,Playstation 3,267
2016-09-21,DDG-Android-3.0.12,184
2016-09-21,Playstation Vita Browser,184
2016-09-21,Job Search,142
2016-09-21,Netscape,141
2016-09-21,Tracker,130
2016-09-21,Phantom Browser,126
2016-09-21,ios-app,126
2016-09-21,casper,124
2016-09-21,Caremark iPhone,121
2016-09-21,Uzbl,109
2016-09-22,Chrome,12383888
2016-09-22,Safari,6413942
2016-09-22,Internet Explorer,5044406
2016-09-22,Firefox,2122033
2016-09-22,Edge,849317
2016-09-22,Safari (in-app),388996
2016-09-22,Android Browser,188393
2016-09-22,Opera,110457
2016-09-22,Opera Mini,73733
2016-09-22,Amazon Silk,73324
2016-09-22,UC Browser,43311
2016-09-22,BlackBerry,16297
2016-09-22,YaBrowser,10748
2016-09-22,Maxthon,4908
2016-09-22,Mozilla Compatible Agent,4804
2016-09-22,ELB-HealthChecker,4552
2016-09-22,Coc Coc,4176
2016-09-22,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,2650
2016-09-22,SeaMonkey,2429
2016-09-22,Iron,1434
2016-09-22,pa11y,1026
2016-09-22,IE with Chrome Frame,1002
2016-09-22,Mozilla,995
2016-09-22,Nokia Browser,879
2016-09-22,MRCHROME,634
2016-09-22,YE,527
2016-09-22,Nintendo Browser,444
2016-09-22,Nichrome,424
2016-09-22,NetFront,300
2016-09-22,Playstation 3,293
2016-09-22,Job Search,222
2016-09-22,Playstation Vita Browser,202
2016-09-22,casper,178
2016-09-22,DDG-Android-3.0.12,169
2016-09-22,Netscape,167
2016-09-22,Tracker,148
2016-09-22,ios-app,130
2016-09-22,Phantom Browser,121
2016-09-22,Caremark iPhone,116
2016-09-22,Uzbl,109
2016-09-23,Chrome,13721236
2016-09-23,Safari,6013594
2016-09-23,Internet Explorer,4410856
2016-09-23,Safari (in-app),2611644
2016-09-23,Firefox,1944125
2016-09-23,Edge,786757
2016-09-23,Android Browser,244722
2016-09-23,Opera,111276
2016-09-23,Amazon Silk,81094
2016-09-23,Opera Mini,70006
2016-09-23,UC Browser,41444
2016-09-23,BlackBerry,16658
2016-09-23,YaBrowser,10603
2016-09-23,ELB-HealthChecker,4898
2016-09-23,Mozilla Compatible Agent,4583
2016-09-23,Maxthon,4432
2016-09-23,Coc Coc,3885
2016-09-23,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,2318
2016-09-23,SeaMonkey,2281
2016-09-23,Iron,1468
2016-09-23,pa11y,1274
2016-09-23,Nokia Browser,965
2016-09-23,Mozilla,882
2016-09-23,IE with Chrome Frame,881
2016-09-23,(not set),854
2016-09-23,MRCHROME,613
2016-09-23,YE,537
2016-09-23,Emb,521
2016-09-23,Nintendo Browser,467
2016-09-23,Nichrome,458
2016-09-23,NetFront,270
2016-09-23,Job Search,259
2016-09-23,Playstation 3,222
2016-09-23,Playstation Vita Browser,206
2016-09-23,DDG-Android-3.0.12,156
2016-09-23,Netscape,150
2016-09-23,Tracker,128
2016-09-23,Phantom Browser,120
2016-09-23,AdobeAIR,111
2016-09-23,casper,111
2016-09-23,Uzbl,106
2016-09-23,ios-app,104
2016-09-24,Chrome,8118245
2016-09-24,Safari,4823381
2016-09-24,Internet Explorer,1255952
2016-09-24,Firefox,1089645
2016-09-24,Safari (in-app),1052493
2016-09-24,Edge,547544
2016-09-24,Android Browser,193665
2016-09-24,Opera,95955
2016-09-24,Amazon Silk,71882
2016-09-24,Opera Mini,62127
2016-09-24,UC Browser,41390
2016-09-24,BlackBerry,14222
2016-09-24,YaBrowser,9378
2016-09-24,ELB-HealthChecker,4610
2016-09-24,Maxthon,3314
2016-09-24,Mozilla Compatible Agent,3280
2016-09-24,Coc Coc,3227
2016-09-24,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,2673
2016-09-24,Mozilla,2076
2016-09-24,SeaMonkey,1766
2016-09-24,Iron,1249
2016-09-24,Nokia Browser,869
2016-09-24,MRCHROME,664
2016-09-24,YE,439
2016-09-24,Nintendo Browser,430
2016-09-24,Nichrome,405
2016-09-24,(not set),341
2016-09-24,osee2unifiedRelease,304
2016-09-24,NetFront,266
2016-09-24,IE with Chrome Frame,263
2016-09-24,Playstation 3,238
2016-09-24,Playstation Vita Browser,230
2016-09-24,Job Search,157
2016-09-24,Uzbl,125
2016-09-24,Netscape,120
2016-09-24,Tracker,117
2016-09-24,DDG-Android-3.0.12,114
2016-09-25,Chrome,7763567
2016-09-25,Safari,4549950
2016-09-25,Internet Explorer,1227651
2016-09-25,Firefox,1114018
2016-09-25,Edge,592814
2016-09-25,Safari (in-app),560792
2016-09-25,Android Browser,185426
2016-09-25,Opera,73993
2016-09-25,Amazon Silk,69565
2016-09-25,Opera Mini,69347
2016-09-25,UC Browser,53362
2016-09-25,BlackBerry,13963
2016-09-25,YaBrowser,7492
2016-09-25,Coc Coc,7396
2016-09-25,ELB-HealthChecker,4559
2016-09-25,Maxthon,3700
2016-09-25,Mozilla Compatible Agent,3269
