date,os,visits
2016-09-15,(not set),43143
2016-09-15,Android,4490138
2016-09-15,BlackBerry,18889
2016-09-15,Chrome OS,319171
2016-09-15,Firefox OS,331
2016-09-15,FreeBSD,350
2016-09-15,Google TV,206
2016-09-15,Linux,141533
2016-09-15,Macintosh,2343812
2016-09-15,Nintendo Wii,333
2016-09-15,Nokia,765
2016-09-15,Playstation 3,235
2016-09-15,Playstation Vita,261
2016-09-15,Samsung,1150
2016-09-15,SunOS,111
2016-09-15,SymbianOS,338
2016-09-15,Windows,14334819
2016-09-15,Windows Phone,59674
2016-09-15,Xbox,947
2016-09-15,iOS,5784902
2016-09-16,(not set),42442
2016-09-16,Android,4180550
2016-09-16,BlackBerry,17045
2016-09-16,Chrome OS,278218
2016-09-16,Firefox OS,300
2016-09-16,FreeBSD,315
2016-09-16,Google TV,174
2016-09-16,Linux,128634
2016-09-16,Macintosh,1958855
2016-09-16,Nintendo Wii,374
2016-09-16,Nokia,691
2016-09-16,Playstation 3,244
2016-09-16,Playstation Vita,178
2016-09-16,Samsung,1171
2016-09-16,SymbianOS,317
2016-09-16,Windows,12330692
2016-09-16,Windows Phone,57055
2016-09-16,Xbox,904
2016-09-16,iOS,5279939
2016-09-17,(not set),38267
2016-09-17,Android,3532969
2016-09-17,BlackBerry,14718
2016-09-17,Chrome OS,79626
2016-09-17,Firefox OS,260
2016-09-17,FreeBSD,266
2016-09-17,Google TV,176
2016-09-17,Linux,91448
2016-09-17,Macintosh,1331155
2016-09-17,Nintendo Wii,386
2016-09-17,Nokia,653
2016-09-17,Playstation 3,227
2016-09-17,Playstation Vita,192
2016-09-17,Samsung,1165
2016-09-17,SymbianOS,309
2016-09-17,Windows,5451485
2016-09-17,Windows Phone,50719
2016-09-17,Xbox,883
2016-09-17,iOS,4392060
2016-09-18,(not set),40562
2016-09-18,Android,3291817
2016-09-18,BlackBerry,15028
2016-09-18,Chrome OS,100968
2016-09-18,Firefox OS,278
2016-09-18,FreeBSD,219
2016-09-18,Google TV,186
2016-09-18,Linux,89119
2016-09-18,Macintosh,1568121
2016-09-18,Nintendo Wii,420
2016-09-18,Nokia,799
2016-09-18,Playstation 3,191
2016-09-18,Playstation Vita,211
2016-09-18,Samsung,1286
2016-09-18,SymbianOS,327
2016-09-18,Windows,5703990
2016-09-18,Windows Phone,50195
2016-09-18,Xbox,903
2016-09-18,iOS,3986975
2016-09-19,(not set),42970
2016-09-19,Android,4458375
2016-09-19,BlackBerry,18528
2016-09-19,Chrome OS,313672
2016-09-19,Firefox OS,336
2016-09-19,FreeBSD,320
2016-09-19,Google TV,184
2016-09-19,Linux,146574
2016-09-19,Macintosh,2575390
2016-09-19,Nintendo Wii,330
2016-09-19,Nokia,755
2016-09-19,Playstation 3,283
2016-09-19,Playstation Vita,230
2016-09-19,Samsung,1237
2016-09-19,SunOS,130
2016-09-19,SymbianOS,351
2016-09-19,Windows,15315148
2016-09-19,Windows Phone,59671
2016-09-19,Xbox,994
2016-09-19,iOS,5626055
2016-09-20,(not set),43229
2016-09-20,Android,4499783
2016-09-20,BlackBerry,18975
2016-09-20,Chrome OS,327574
2016-09-20,Firefox OS,300
2016-09-20,FreeBSD,305
2016-09-20,Google TV,172
2016-09-20,Linux,145288
2016-09-20,Macintosh,2481275
2016-09-20,Nintendo Wii,332
2016-09-20,Nokia,759
2016-09-20,Playstation 3,262
2016-09-20,Playstation Vita,208
2016-09-20,Samsung,1350
2016-09-20,SymbianOS,349
2016-09-20,Windows,15128616
2016-09-20,Windows Phone,61154
2016-09-20,Xbox,994
2016-09-20,iOS,5664913
2016-09-21,(not set),44570
2016-09-21,Android,4637938
2016-09-21,BlackBerry,18896
2016-09-21,Chrome OS,327534
2016-09-21,Firefox OS,328
2016-09-21,FreeBSD,330
2016-09-21,Google TV,198
2016-09-21,Linux,142844
2016-09-21,Macintosh,2471420
2016-09-21,Nintendo Wii,399
2016-09-21,Nokia,785
2016-09-21,Playstation 3,267
2016-09-21,Playstation Vita,184
2016-09-21,Samsung,1235
2016-09-21,SunOS,102
2016-09-21,SymbianOS,317
2016-09-21,Windows,15022897
2016-09-21,Windows Phone,61260
2016-09-21,Xbox,1066
2016-09-21,iOS,5942378
2016-09-22,(not set),44461
2016-09-22,Android,4526536
2016-09-22,BlackBerry,18264
2016-09-22,Chrome OS,330759
2016-09-22,Firefox OS,334
2016-09-22,FreeBSD,403
2016-09-22,Google TV,173
2016-09-22,Linux,138692
2016-09-22,Macintosh,2334946
2016-09-22,Nintendo Wii,383
2016-09-22,Nokia,784
2016-09-22,Playstation 3,293
2016-09-22,Playstation Vita,202
2016-09-22,Samsung,1257
2016-09-22,SymbianOS,309
2016-09-22,Windows,14472188
2016-09-22,Windows Phone,60271
2016-09-22,Xbox,965
2016-09-22,iOS,5821399
2016-09-23,(not set),43401
2016-09-23,Android,6851141
2016-09-23,BlackBerry,18668
2016-09-23,Chrome OS,287576
2016-09-23,Firefox OS,348
2016-09-23,FreeBSD,342
2016-09-23,Google TV,185
2016-09-23,Linux,136506
2016-09-23,Macintosh,2084163
2016-09-23,Nintendo Wii,408
2016-09-23,Nokia,740
2016-09-23,Playstation 3,222
2016-09-23,Playstation Vita,206
2016-09-23,Samsung,1289
2016-09-23,SymbianOS,339
2016-09-23,Windows,12852403
2016-09-23,Windows Phone,64097
2016-09-23,Xbox,1229
2016-09-23,iOS,7754750
2016-09-24,(not set),38662
2016-09-24,Android,4827346
2016-09-24,BlackBerry,15938
2016-09-24,Chrome OS,83036
2016-09-24,Firefox OS,284
2016-09-24,FreeBSD,258
2016-09-24,Google TV,167
2016-09-24,Linux,93105
2016-09-24,Macintosh,1367375
2016-09-24,Nintendo Wii,393
2016-09-24,Nokia,655
2016-09-24,Playstation 3,238
2016-09-24,Playstation Vita,230
2016-09-24,Samsung,1194
2016-09-24,SymbianOS,311
2016-09-24,Windows,5621310
2016-09-24,Windows Phone,55506
2016-09-24,Xbox,1094
2016-09-24,iOS,5296943
2016-09-25,(not set),42844
2016-09-25,Android,4133385
2016-09-25,BlackBerry,15804
2016-09-25,Chrome OS,102151
2016-09-25,Firefox OS,267
2016-09-25,FreeBSD,237
2016-09-25,Google TV,161
2016-09-25,Linux,86873
2016-09-25,Macintosh,1591114
2016-09-25,Nintendo Wii,405
2016-09-25,Nokia,723
2016-09-25,Playstation 3,232
2016-09-25,Playstation Vita,188
2016-09-25,Samsung,1250
2016-09-25,SymbianOS,375
2016-09-25,Windows,5870667
2016-09-25,Windows Phone,57808
2016-09-25,Xbox,902
2016-09-25,iOS,4407152
2016-09-26,(not set),44715
2016-09-26,Android,4958421
2016-09-26,BlackBerry,18687
2016-09-26,Chrome OS,329798
2016-09-26,Firefox OS,335
2016-09-26,FreeBSD,377
2016-09-26,Google TV,166
2016-09-26,Linux,154725
2016-09-26,Macintosh,2591842
2016-09-26,Nintendo Wii,431
2016-09-26,Nokia,744
2016-09-26,Playstation 3,271
2016-09-26,Playstation Vita,230
2016-09-26,Samsung,1276
2016-09-26,SunOS,114
