domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
tools.usps.com,149645054,261304805,52194863,1.7461639928306618,119.33899310163636,151915669
forecast.weather.gov,48544452,77255007,11271957,1.591428140954192,96.2980514024548,50112026
medlineplus.gov,47981869,67332049,33806107,1.4032810810266687,97.56954261202289,47966095
usps.com,33181181,47229253,16398306,1.423374683378509,72.70119538542043,27476476
cdc.gov,24206128,49065725,17491175,2.0269960152239137,122.38877477637068,24447987
irs.gov,21572725,57212300,11619723,2.6520664403778382,146.84269381823574,21511134
usajobs.gov,20594024,88139390,6050969,4.279852737862207,248.144034550994,20575247
weather.gov,16767102,37389669,5679919,2.2299422404658835,116.48210477875068,15192769
ssa.gov,13496755,37603736,8209668,2.7861316294175897,199.0037265994678,13456946
uscis.gov,11796234,28264393,5724234,2.396052248539661,220.45705849850046,10213639
reg.usps.com,11600945,22316327,4385751,1.9236645807733765,74.22356687321593,11106712
travel.state.gov,10672569,26260423,6775793,2.4605531245569834,199.62854266859273,10722893
login.usajobs.gov,10054403,15999464,2683728,1.5912893087734796,80.81674575805246,9721659
nps.gov,9141049,29392566,6280809,3.215447811296056,210.19251904239874,9094480
nasa.gov,8655830,17228286,6234240,1.9903678792212878,142.42606162551715,8561940
ceac.state.gov,6895220,139606424,2219540,20.246841145025105,1086.6117774342226,6833629
whitehouse.gov,6512152,11890124,5182682,1.8258363748266317,96.88247279854647,6530179
cns.usps.com,6441548,18822148,1703525,2.921991421937708,202.1181093426611,6794571
fda.gov,6360427,13799454,4644885,2.1695798096574332,160.30220691158,6049467
store.usps.com,5447074,24975268,3205000,4.585079622564335,116.95876226392372,5354687
