page_title,event_label,page,total_events
Employment Eligibility Verification | USCIS,https://www.uscis.gov/system/files_force/files/form/i-9.pdf,uscis.gov/i-9,125678
Application for Naturalization | USCIS,https://www.uscis.gov/system/files_force/files/form/n-400.pdf,uscis.gov/n-400,66613
Employment Eligibility Verification | USCIS,https://www.uscis.gov/system/files_force/files/form/i-9-paper-version.pdf,uscis.gov/i-9,64726
Petition for Alien Relative | USCIS,https://www.uscis.gov/system/files_force/files/form/i-130.pdf,uscis.gov/i-130,60763
Passport Forms,http://www.state.gov/documents/organization/212239.pdf,travel.state.gov/content/passports/en/passports/forms.html,47931
Passport Forms,http://www.state.gov/documents/organization/212241.pdf,travel.state.gov/content/passports/en/passports/forms.html,41327
Salaries & Wages,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/locality-payments-under-presidents-alternative-plan-january-2017.pdf,opm.gov/policy-data-oversight/pay-leave/salaries-wages/,34722
General Schedule,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/16Tables/pdf/DCB.pdf,opm.gov/policy-data-oversight/pay-leave/salaries-wages/2016/general-schedule/,33778
New or Replacement Social Security Number and Card,https://www.ssa.gov/forms/ss-5.pdf,ssa.gov/ssnumber/,32835
Application for Employment Authorization | USCIS,https://www.uscis.gov/system/files_force/files/form/i-765.pdf,uscis.gov/i-765,32646
Dental & Vision,https://www.opm.gov/healthcare-insurance/flyers/dental-insurance-overview.pdf,opm.gov/healthcare-insurance/dental-vision/,31891
Affidavit of Support Under Section 213A of the INA | USCIS,https://www.uscis.gov/system/files_force/files/form/i-864.pdf,uscis.gov/i-864,31325
Petition for Alien Relative | USCIS,https://www.uscis.gov/system/files_force/files/form/i-130instr.pdf,uscis.gov/i-130,30382
Plan Information,https://www.opm.gov/healthcare-insurance/dental-vision/plan-information/premiums/2017dentalpremium.pdf,opm.gov/healthcare-insurance/dental-vision/plan-information/,30193
"M6.5 - 160km W of Ferndale, California",http://earthquake.usgs.gov/earthquakes/eventpage/us20007z6r,earthquake.usgs.gov/earthquakes/eventpage/us20007z6r,28495
Application to Register Permanent Residence or Adjust Status | USCIS,https://www.uscis.gov/system/files_force/files/form/i-485.pdf,uscis.gov/i-485,28306
Medicare Benefits,https://www.ssa.gov/pubs/EN-05-10530.pdf,ssa.gov/medicare/,26041
Premiums,https://www.opm.gov/healthcare-insurance/healthcare/plan-information/premiums/2017/nonpostal-hmo.pdf,opm.gov/healthcare-insurance/healthcare/plan-information/premiums/,25098
Application to Replace Permanent Resident Card | USCIS,https://www.uscis.gov/system/files_force/files/form/i-90.pdf,uscis.gov/i-90,24154
"Form W-9, Request for Taxpayer Identification Number (TIN) and Certification",https://www.irs.gov/pub/irs-pdf/fw9.pdf,irs.gov/uac/about-form-w9,24154
Application for Naturalization | USCIS,https://www.uscis.gov/system/files_force/files/article/attachments.pdf,uscis.gov/n-400,23966
Application for Naturalization | USCIS,https://www.uscis.gov/system/files_force/files/form/n-400instr.pdf,uscis.gov/n-400,23777
General Schedule,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/16Tables/pdf/RUS.pdf,opm.gov/policy-data-oversight/pay-leave/salaries-wages/2016/general-schedule/,23211
Passport Fees,http://travel.state.gov/content/dam/passports/FeeChart/Passport%20Fees%20Chart_TSG%20March2016.pdf,travel.state.gov/content/passports/en/passports/information/fees.html,23211
